student_id,first_name,last_name,email,student_no,program_code
566,Alex,Mckenna,alex.m@school.org,90234555,1515x
567,Devon,Stephens,devon.s@school.org,90654777,1515x
568,Cole,Moir,cole.m@school.org,90121443,1515x
569,Cara,Granger,cara.g@school.org,90845873,3002x
570,Bree,Weasley,bree.w@school.org,90735822,3002x
571,Krista,Potter,krista.p@school.org,90147283,3002x
572,Cassandra,Stark,cassandra.s@school.org,90876122,6149x
573,Grace,Banner,grace.b@school.org,90876134,6149x
574,Paul,Romanov,paul.r@school.org,90877100,3013x
575,Nina,Parker,nina.p@school.org,90115433,3013x
